"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"MZ7QN6QM","journalArticle","2023","Evans, Tegan; Fletcher, Stephen; Failler, Pierre; Potts, Jonathan","Untangling Theories of Transformation: Reflections for Ocean Governance","Marine Policy","","0308597X","10.1016/j.marpol.2023.105710","","","2023-09","2024-03-07 10:04:06","2024-03-07 10:04:06","2023-06-23","105710","","","155","","","Untangling Theories of Transformation","","","","","","","","","","","","","","","","/Users/rainerkrug/Zotero TCH_Ch3_snowball/storage/945U533R/Evans et al_2023_Untangling Theories of Transformation.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R3FLYUCY","journalArticle","2015","Feola, Giuseppe","Societal Transformation in Response to Global Environmental Change: A Review of Emerging Concepts","Ambio","","0044-7447, 1654-7209","10.1007/s13280-014-0582-z","","","2015-09","2024-03-07 10:04:06","2024-03-07 10:04:06","2023-09-12","376–390","","5","44","","","Societal Transformation in Response to Global Environmental Change","","","","","","","","","","","","","","","","/Users/rainerkrug/Zotero TCH_Ch3_snowball/storage/NIULVA2D/Feola_2015_Societal Transformation in Response to Global Environmental Change.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W568STID","journalArticle","2022","Fisher, Eleanor; Brondizio, Eduardo; Boyd, Emily","Critical Social Science Perspectives on Transformations to Sustainability","Current Opinion in Environmental Sustainability","","18773435","10.1016/j.cosust.2022.101160","","","2022-04","2024-03-07 10:04:07","2024-03-07 10:04:07","2023-06-23","101160","","","55","","","","","","","","","","","","","","","","","","","/Users/rainerkrug/Zotero TCH_Ch3_snowball/storage/78GJ6XW7/Fisher et al_2022_Critical Social Science Perspectives on Transformations to Sustainability.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E6R6IKID","journalArticle","2017","Loorbach, Derk; Frantzeskaki, Niki; Avelino, Flor","Sustainability Transitions Research: Transforming Science and Practice for Societal Change","Annual Review of Environment and Resources","","1543-5938, 1545-2050","10.1146/annurev-environ-102014-021340","","The article describes the field of sustainability transitions research, which emerged in the past two decades in the context of a growing scientific and public interest in large-scale societal transformation toward sustainability. We describe how different scientific approaches and methodological positions explore diverse types of transitions and provide the basis for multiple theories and models for governance of sustainability transitions. We distinguish three perspectives in studying transitions: socio-technical, socio-institutional, and socio-ecological. Although the field as a whole is very heterogeneous, commonalities can be characterized in notions such as path dependencies, regimes, niches, experiments, and governance. These more generic concepts have been adopted within the analytical perspective of transitions, which has led three different types of approaches to dealing with agency in transitions: analytical, evaluative, and experimental. The field has by now produced a broad theoretical and empirical basis along with a variety of social transformation strategies and instruments, impacting disciplinary scientific fields as well as (policy) practice. In this article, we try to characterize the field by identifying its main perspectives, approaches and shared concepts, and its relevance to real-world sustainability problems and solutions.","2017-10","2024-03-07 10:04:07","2024-03-07 10:04:07","2023-06-23","599–626","","1","42","","","Sustainability Transitions Research","","","","","","","","","","","","","","","","/Users/rainerkrug/Zotero TCH_Ch3_snowball/storage/TVUCUQZY/Loorbach et al_2017_Sustainability Transitions Research.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V5I8QT3I","journalArticle","2017","Patterson, James; Schulz, Karsten; Vervoort, Joost; Van Der Hel, Sandra; Widerberg, Oscar; Adler, Carolina; Hurlbert, Margot; Anderton, Karen; Sethi, Mahendra; Barau, Aliyu","Exploring the Governance and Politics of Transformations towards Sustainability","Environmental Innovation and Societal Transitions","","22104224","10.1016/j.eist.2016.09.001","","","2017-09","2024-03-07 10:04:07","2024-03-07 10:04:07","2023-09-12","1–16","","","24","","","","","","","","","","","","","","","","","","","/Users/rainerkrug/Zotero TCH_Ch3_snowball/storage/77NTIHXU/Patterson et al_2017_Exploring the Governance and Politics of Transformations towards Sustainability.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C7TMUEMG","journalArticle","2020","Scoones, Ian; Stirling, Andrew; Abrol, Dinesh; Atela, Joanes; Charli-Joseph, Lakshmi; Eakin, Hallie; Ely, Adrian; Olsson, Per; Pereira, Laura; Priya, Ritu; Van Zwanenberg, Patrick; Yang, Lichao","Transformations to Sustainability: Combining Structural, Systemic and Enabling Approaches","Current Opinion in Environmental Sustainability","","18773435","10.1016/j.cosust.2019.12.004","","","2020-02","2024-03-07 10:04:08","2024-03-07 10:04:08","2023-06-23","65–75","","","42","","","Transformations to Sustainability","","","","","","","","","","","","","","","","/Users/rainerkrug/Zotero TCH_Ch3_snowball/storage/7U9BGYM9/Scoones et al_2020_Transformations to Sustainability.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
