"DOI","Authors","Year","Title"
"10.1371/journal.pone.0177186","Lumber, R., Richardson, M., & Sheffield, D.","2017","Beyond knowing nature: Contact, emotion, compassion, meaning, and beauty are pathways to nature connection"
"10.1016/j.jenvp.2004.10.001","Mayer FS, Frantz CM.","2004","The connectedness to nature scale: A measure of individuals’ feeling in community with nature"
"10.4324/9781003276203","Graham, C., & Longchamps, P","2022","Transformative Education. A Showcase of Sustainable and Integrative Active Learning"
"10.1186/s40594-021-00296-x","Marín-Marín, J. A., Moreno-Guerrero, A. J., Dúo-Terrón, P., & López-Belmonte, J.","2021","STEAM in education: a bibliometric analysis of performance and co-words in Web of Science"
"10.1016/j.envsci.2012.11.011","O'Brien, K., Reams, J., Caspari, A., Dugmore, A., Faghihimani, M., Fazey, I., ... & Winiwarter, V. ","2013","You say you want a revolution? Transforming education and capacity building in response to global change"
"10.4324/9780203817438","Schweisfurth, M.","2013","Learner-centred education in international perspective: Whose pedagogy for whose development?"
"10.4314/sajee.v36i1.14","Kulundu, I., McGarry, D. K., & Lotz-Sisitka, H.","2020","Think Piece: Learning, Living and Leading into Transgression-A reflection on decolonial praxis in a neoliberal world"
"10.1177/1541344612439939","Lysaker, J. T., & Furuness, S.","2011","Space for transformation: Relational, dialogic pedagogy"
"10.1016/j.eist.2019.11.001","Van Mierlo, B., Halbe, J., Beers, P. J., Scholz, G., & Vinke-de Kruijf, J.","2020","Learning about learning in sustainability transitions"
"10.1080/26395916.2020.1867645","Raymond, C.M., R. Kaaronen, M.Giusti, N. Linder &amp; S. Barthel ","2021","Engaging with the pragmatics of relational thinking, leverage points and transformations – Reply to West et al."
"10.1007/s13280-020-01322-y","Walsh, Z., Böhme, J. &amp; Wamsler, C.","2021","Towards a relational paradigm in sustainability research, practice, and education"
"10.4135/9781446219713","Whatmore S.","2002","Hybrid geographies: natures cultures spaces"
"10.2307/j.ctv12101zq","Barad KM.","2007","Meeting the Universe halfway: quantum physics and the entanglement of"
"10.2307/j.ctv111jh6w","Bennett J.","2010","Vibrant matter: A political ecology of things"
"10.2307/3178066","Haraway, D.","1988","Situated knowledges: The science question in feminism and the privilige of partial perspective"
"10.1093/oso/9780199256044.001.0001","Latour, B.","2005","Reassembling the social: An introduction to actornetwork theory"
"10.1177/0022242919825649","White, K., Habib, R., & Hardisty, D. J","2019","How to SHIFT Consumer Behaviors to be More Sustainable: A Literature Review and Guiding Framework"
"10.1007/978-3-642-69746-3_2","Ajzen, I.","1985","From intentions to actions: A theory of planned behavior."
"10.1007/978-3- 030- 06128- 9_3","Scarano FR","2019","The emergence of sustainability"
"10.1016/S0140-6736(12)61684- 5","Morse SS, Mazet JAK, Woolhouse M, Parrish CR, Carroll D, Karesh WB, Zambrana-Torrelio C, Lipkin WI, Daszak P","2012","Prediction and prevention of the next pandemic zoonosis"
"10.1007/978-3-031-51841-6","Scarano FR","2024","Regenerative dialogues for sustainable futures"
"10.1093/biosci/biad109  ","Himes, A., Muraca, B., Anderson, C. B., Athayde, S., Beery, T., Cantú-Fernández, M., González-Jiménez, D., Gould, R. K., Hejnowicz, A. P., Kenter, J., Lenzi, D., Murali, R., Pascual, U., Raymond, C.,Ring, A., Russo, K., Samakov, A., Stålhammar, S., Thorén, H., &amp; Zent, E","2024","Why nature matures: A systematic review of intrinsic, instrumental, and relational values."
"10.1016/j.ecolecon.2013.06.008","Jax, K., Barton, D. N., Chan, K. M. A., de Groot, R., Doyle, U., Eser, U., Görg, C., Gómez-Baggethun, E., Griewald, Y., Haber, W., Haines-Young, R., Heink, U., Jahn, T., Joosten, H., Kerschbaumer, L., Korn, H., Luck, G. W., Matzdorf, B., Muraca, B., … Wichmann, S.","2013","Ecosystem services and ethics"
"10.1007/s11625-019-00718-4","Stålhammar, S. Thorén, H","2019","Three perspectives on relational values of nature"
"10.3389/fevo.2021.624084 ","Stålhammar, S.","2021","Assessing people&#39;s values of nature: where is the link to sustainability transformations"
"10.1080/26395916.2020.1814417","West, S., Haider, L. J., Stålhammar, S., &amp; Woroniecki, S.","2020","A relational turn for sustainability science?"
"10.1073/pnas.1525002113","Chan KMA, et al.","2016","Opinion: Why protect nature? Rethinking values and the environment."
"10.1016/j.cosust.2018.11.003","Chan KM, Gould RK, Pascual U","2018","Editorial overview: Relational values: What are they, and what's the fuss about?"
"10.1080/00141840600603111","Ingold, T.","2006","Rethinking the animate, re-animating thought"
"10.3197/096327111X13077055166063","Muraca, B.","2011","The map of moral significance: a new axiological matrix for environmental ethics."
